, ,Number of genomes,gene_class
807,Cluster 807,63,accessory
808,Cluster 808,69,accessory
809,Cluster 809,6,unique
810,Cluster 810,20,accessory
811,Cluster 811,2,unique
812,Cluster 812,2,unique
813,Cluster 813,63,accessory
814,Cluster 814,20,accessory
815,Cluster 815,63,accessory
816,Cluster 816,1,unique
817,Cluster 817,42,accessory
818,Cluster 818,19,accessory
819,Cluster 819,63,accessory
820,Cluster 820,63,accessory
821,Cluster 821,61,accessory
822,Cluster 822,1,unique
823,Cluster 823,6,unique
824,Cluster 824,1,unique
825,Cluster 825,1,unique
826,Cluster 826,63,accessory
827,Cluster 827,1,unique
828,Cluster 828,2,unique
829,Cluster 829,40,accessory
830,Cluster 830,18,accessory
831,Cluster 831,5,unique
832,Cluster 832,63,accessory
833,Cluster 833,57,accessory
834,Cluster 834,63,accessory
835,Cluster 835,20,accessory
836,Cluster 836,2,unique
837,Cluster 837,1,unique
838,Cluster 838,2,unique
839,Cluster 839,27,accessory
840,Cluster 840,63,accessory
841,Cluster 841,55,accessory
842,Cluster 842,1,unique
843,Cluster 843,63,accessory
844,Cluster 844,63,accessory
845,Cluster 845,16,accessory
846,Cluster 846,38,accessory
847,Cluster 847,63,accessory
848,Cluster 848,5,unique
849,Cluster 849,1,unique
850,Cluster 850,5,unique
851,Cluster 851,2,unique
852,Cluster 852,63,accessory
853,Cluster 853,4,unique
854,Cluster 854,63,accessory
855,Cluster 855,63,accessory
856,Cluster 856,18,accessory
857,Cluster 857,59,accessory
858,Cluster 858,1,unique
859,Cluster 859,2,unique
860,Cluster 860,1,unique
861,Cluster 861,58,accessory
862,Cluster 862,49,accessory
863,Cluster 863,5,unique
864,Cluster 864,25,accessory
865,Cluster 865,5,unique
866,Cluster 866,1,unique
867,Cluster 867,1,unique
868,Cluster 868,61,accessory
869,Cluster 869,63,accessory
870,Cluster 870,1,unique
871,Cluster 871,1,unique
872,Cluster 872,62,accessory
873,Cluster 873,62,accessory
874,Cluster 874,1,unique
875,Cluster 875,63,accessory
876,Cluster 876,63,accessory
877,Cluster 877,41,accessory
878,Cluster 878,63,accessory
879,Cluster 879,34,accessory
880,Cluster 880,1,unique
881,Cluster 881,9,unique
882,Cluster 882,63,accessory
883,Cluster 883,1,unique
884,Cluster 884,63,accessory
885,Cluster 885,1,unique
886,Cluster 886,40,accessory
887,Cluster 887,40,accessory
888,Cluster 888,63,accessory
889,Cluster 889,35,accessory
890,Cluster 890,62,accessory
891,Cluster 891,1,unique
892,Cluster 892,63,accessory
893,Cluster 893,63,accessory
894,Cluster 894,2,unique
895,Cluster 895,6,unique
896,Cluster 896,63,accessory
897,Cluster 897,4,unique
898,Cluster 898,17,accessory
899,Cluster 899,1,unique
900,Cluster 900,4,unique
901,Cluster 901,1,unique
902,Cluster 902,3,unique
903,Cluster 903,46,accessory
904,Cluster 904,2,unique
905,Cluster 905,63,accessory
906,Cluster 906,1,unique
907,Cluster 907,63,accessory
908,Cluster 908,63,accessory
909,Cluster 909,56,accessory
910,Cluster 910,63,accessory
911,Cluster 911,63,accessory
912,Cluster 912,54,accessory
913,Cluster 913,8,unique
914,Cluster 914,1,unique
915,Cluster 915,63,accessory
916,Cluster 916,41,accessory
917,Cluster 917,3,unique
918,Cluster 918,19,accessory
919,Cluster 919,63,accessory
920,Cluster 920,63,accessory
921,Cluster 921,2,unique
922,Cluster 922,63,accessory
923,Cluster 923,63,accessory
924,Cluster 924,63,accessory
925,Cluster 925,32,accessory
926,Cluster 926,1,unique
927,Cluster 927,4,unique
928,Cluster 928,1,unique
929,Cluster 929,32,accessory
930,Cluster 930,56,accessory
931,Cluster 931,3,unique
932,Cluster 932,3,unique
933,Cluster 933,63,accessory
934,Cluster 934,7,unique
935,Cluster 935,3,unique
936,Cluster 936,63,accessory
937,Cluster 937,47,accessory
938,Cluster 938,1,unique
939,Cluster 939,1,unique
940,Cluster 940,1,unique
941,Cluster 941,63,accessory
942,Cluster 942,1,unique
943,Cluster 943,4,unique
944,Cluster 944,63,accessory
945,Cluster 945,4,unique
946,Cluster 946,63,accessory
947,Cluster 947,1,unique
948,Cluster 948,4,unique
949,Cluster 949,2,unique
950,Cluster 950,1,unique
951,Cluster 951,63,accessory
952,Cluster 952,1,unique
953,Cluster 953,63,accessory
954,Cluster 954,12,unique
955,Cluster 955,1,unique
956,Cluster 956,58,accessory
957,Cluster 957,20,accessory
958,Cluster 958,3,unique
959,Cluster 959,2,unique
960,Cluster 960,63,accessory
961,Cluster 961,63,accessory
962,Cluster 962,63,accessory
963,Cluster 963,1,unique
964,Cluster 964,63,accessory
