, ,Number of genomes
1226,Cluster 1226,57
1227,Cluster 1227,1
1228,Cluster 1228,61
1229,Cluster 1229,5
1230,Cluster 1230,63
1231,Cluster 1231,63
1232,Cluster 1232,35
1233,Cluster 1233,1
1234,Cluster 1234,1
1235,Cluster 1235,1
1236,Cluster 1236,54
1237,Cluster 1237,59
1238,Cluster 1238,60
1239,Cluster 1239,2
1240,Cluster 1240,2
1241,Cluster 1241,14
1242,Cluster 1242,5
1243,Cluster 1243,1
1244,Cluster 1244,63
1245,Cluster 1245,54
1246,Cluster 1246,60
1247,Cluster 1247,1
1248,Cluster 1248,14
1249,Cluster 1249,5
1250,Cluster 1250,4
1251,Cluster 1251,40
1252,Cluster 1252,63
1253,Cluster 1253,61
1254,Cluster 1254,3
1255,Cluster 1255,8
1256,Cluster 1256,2
1257,Cluster 1257,4
1258,Cluster 1258,63
1259,Cluster 1259,24
1260,Cluster 1260,63
1261,Cluster 1261,7
1262,Cluster 1262,1
1263,Cluster 1263,63
1264,Cluster 1264,42
1265,Cluster 1265,3
1266,Cluster 1266,63
1267,Cluster 1267,60
1268,Cluster 1268,1
1269,Cluster 1269,5
1270,Cluster 1270,10
1271,Cluster 1271,1
1272,Cluster 1272,51
1273,Cluster 1273,62
1274,Cluster 1274,63
1275,Cluster 1275,66
1276,Cluster 1276,4
1277,Cluster 1277,5
1278,Cluster 1278,1
1279,Cluster 1279,9
1280,Cluster 1280,59
1281,Cluster 1281,63
1282,Cluster 1282,63
1283,Cluster 1283,63
1284,Cluster 1284,19
1285,Cluster 1285,6
1286,Cluster 1286,2
1287,Cluster 1287,63
1288,Cluster 1288,63
1289,Cluster 1289,57
1290,Cluster 1290,63
1291,Cluster 1291,63
1292,Cluster 1292,4
1293,Cluster 1293,3
1294,Cluster 1294,63
1295,Cluster 1295,1
1296,Cluster 1296,63
1297,Cluster 1297,54
1298,Cluster 1298,63
1299,Cluster 1299,63
1300,Cluster 1300,63
1301,Cluster 1301,2
1302,Cluster 1302,2
1303,Cluster 1303,63
1304,Cluster 1304,63
1305,Cluster 1305,16
1306,Cluster 1306,62
1307,Cluster 1307,16
1308,Cluster 1308,62
1309,Cluster 1309,2
1310,Cluster 1310,26
1311,Cluster 1311,1
1312,Cluster 1312,1
1313,Cluster 1313,1
1314,Cluster 1314,2
1315,Cluster 1315,63
1316,Cluster 1316,63
1317,Cluster 1317,63
1318,Cluster 1318,63
1319,Cluster 1319,2
1320,Cluster 1320,63
1321,Cluster 1321,1
1322,Cluster 1322,63
1323,Cluster 1323,63
1324,Cluster 1324,66
1325,Cluster 1325,60
1326,Cluster 1326,63
1327,Cluster 1327,63
1328,Cluster 1328,22
1329,Cluster 1329,2
1330,Cluster 1330,2
1331,Cluster 1331,62
1332,Cluster 1332,62
1333,Cluster 1333,63
1334,Cluster 1334,63
1335,Cluster 1335,63
1336,Cluster 1336,4
1337,Cluster 1337,1
1338,Cluster 1338,1
1339,Cluster 1339,63
1340,Cluster 1340,43
1341,Cluster 1341,63
1342,Cluster 1342,63
1343,Cluster 1343,15
1344,Cluster 1344,1
1345,Cluster 1345,63
1346,Cluster 1346,25
1347,Cluster 1347,19
1348,Cluster 1348,1
1349,Cluster 1349,1
1350,Cluster 1350,2
1351,Cluster 1351,5
1352,Cluster 1352,63
1353,Cluster 1353,63
1354,Cluster 1354,1
1355,Cluster 1355,1
1356,Cluster 1356,1
1357,Cluster 1357,63
1358,Cluster 1358,55
1359,Cluster 1359,62
1360,Cluster 1360,56
1361,Cluster 1361,58
1362,Cluster 1362,1
1363,Cluster 1363,63
1364,Cluster 1364,63
1365,Cluster 1365,35
1366,Cluster 1366,18
1367,Cluster 1367,1
1368,Cluster 1368,1
1369,Cluster 1369,1
1370,Cluster 1370,12
1371,Cluster 1371,17
1372,Cluster 1372,14
1373,Cluster 1373,8
1374,Cluster 1374,4
1375,Cluster 1375,6
1376,Cluster 1376,38
1377,Cluster 1377,63
1378,Cluster 1378,41
1379,Cluster 1379,1
1380,Cluster 1380,63
1381,Cluster 1381,2
1382,Cluster 1382,1
1383,Cluster 1383,1
1384,Cluster 1384,37
1385,Cluster 1385,63
1386,Cluster 1386,63
1387,Cluster 1387,2
1388,Cluster 1388,1
1389,Cluster 1389,20
1390,Cluster 1390,61
1391,Cluster 1391,3
1392,Cluster 1392,8
1393,Cluster 1393,1
1394,Cluster 1394,58
1395,Cluster 1395,63
1396,Cluster 1396,30
1397,Cluster 1397,2
1398,Cluster 1398,5
1399,Cluster 1399,3
1400,Cluster 1400,32
1401,Cluster 1401,38
1402,Cluster 1402,63
1403,Cluster 1403,16
1404,Cluster 1404,2
1405,Cluster 1405,41
1406,Cluster 1406,1
1407,Cluster 1407,3
1408,Cluster 1408,42
1409,Cluster 1409,4
1410,Cluster 1410,2
1411,Cluster 1411,1
1412,Cluster 1412,63
1413,Cluster 1413,63
1414,Cluster 1414,20
1415,Cluster 1415,63
1416,Cluster 1416,63
1417,Cluster 1417,23
1418,Cluster 1418,7
1419,Cluster 1419,1
1420,Cluster 1420,1
1421,Cluster 1421,63
1422,Cluster 1422,29
1423,Cluster 1423,36
1424,Cluster 1424,1
1425,Cluster 1425,7
1426,Cluster 1426,1
1427,Cluster 1427,34
1428,Cluster 1428,2
1429,Cluster 1429,63
1430,Cluster 1430,15
1431,Cluster 1431,6
1432,Cluster 1432,63
1433,Cluster 1433,1
1434,Cluster 1434,1
1435,Cluster 1435,1
1436,Cluster 1436,1
1437,Cluster 1437,53
1438,Cluster 1438,59
1439,Cluster 1439,7
1440,Cluster 1440,16
1441,Cluster 1441,2
1442,Cluster 1442,2
1443,Cluster 1443,63
1444,Cluster 1444,2
1445,Cluster 1445,1
1446,Cluster 1446,36
1447,Cluster 1447,11
1448,Cluster 1448,34
1449,Cluster 1449,63
1450,Cluster 1450,57
1451,Cluster 1451,1
1452,Cluster 1452,1
1453,Cluster 1453,2
1454,Cluster 1454,2
1455,Cluster 1455,1
1456,Cluster 1456,63
1457,Cluster 1457,3
1458,Cluster 1458,15
1459,Cluster 1459,31
1460,Cluster 1460,3
1461,Cluster 1461,1
1462,Cluster 1462,6
1463,Cluster 1463,1
1464,Cluster 1464,63
1465,Cluster 1465,13
1466,Cluster 1466,63
1467,Cluster 1467,1
1468,Cluster 1468,20
1469,Cluster 1469,22
1470,Cluster 1470,6
1471,Cluster 1471,5
1472,Cluster 1472,7
1473,Cluster 1473,6
1474,Cluster 1474,1
1475,Cluster 1475,63
1476,Cluster 1476,2
1477,Cluster 1477,25
1478,Cluster 1478,1
1479,Cluster 1479,4
1480,Cluster 1480,18
1481,Cluster 1481,1
1482,Cluster 1482,1
1483,Cluster 1483,2
1484,Cluster 1484,1
1485,Cluster 1485,20
1486,Cluster 1486,2
1487,Cluster 1487,63
1488,Cluster 1488,11
1489,Cluster 1489,5
1490,Cluster 1490,60
1491,Cluster 1491,28
1492,Cluster 1492,2
1493,Cluster 1493,1
1494,Cluster 1494,63
1495,Cluster 1495,63
1496,Cluster 1496,63
1497,Cluster 1497,63
1498,Cluster 1498,22
1499,Cluster 1499,9
1500,Cluster 1500,8
1501,Cluster 1501,5
1502,Cluster 1502,5
1503,Cluster 1503,1
1504,Cluster 1504,63
1505,Cluster 1505,36
1506,Cluster 1506,41
1507,Cluster 1507,7
1508,Cluster 1508,15
1509,Cluster 1509,62
1510,Cluster 1510,1
1511,Cluster 1511,1
1512,Cluster 1512,63
1513,Cluster 1513,63
1514,Cluster 1514,38
1515,Cluster 1515,63
1516,Cluster 1516,6
1517,Cluster 1517,1
1518,Cluster 1518,8
1519,Cluster 1519,4
1520,Cluster 1520,5
1521,Cluster 1521,1
1522,Cluster 1522,57
1523,Cluster 1523,63
1524,Cluster 1524,3
1525,Cluster 1525,2
1526,Cluster 1526,63
1527,Cluster 1527,63
1528,Cluster 1528,63
1529,Cluster 1529,63
1530,Cluster 1530,23
1531,Cluster 1531,1
1532,Cluster 1532,1
1533,Cluster 1533,63
1534,Cluster 1534,63
1535,Cluster 1535,63
1536,Cluster 1536,63
1537,Cluster 1537,63
1538,Cluster 1538,32
1539,Cluster 1539,31
1540,Cluster 1540,12
1541,Cluster 1541,5
1542,Cluster 1542,63
1543,Cluster 1543,1
1544,Cluster 1544,2
1545,Cluster 1545,1
1546,Cluster 1546,63
1547,Cluster 1547,63
1548,Cluster 1548,63
1549,Cluster 1549,61
1550,Cluster 1550,63
1551,Cluster 1551,62
1552,Cluster 1552,26
1553,Cluster 1553,6
1554,Cluster 1554,4
1555,Cluster 1555,1
1556,Cluster 1556,63
1557,Cluster 1557,62
1558,Cluster 1558,63
1559,Cluster 1559,31
1560,Cluster 1560,1
1561,Cluster 1561,12
1562,Cluster 1562,1
1563,Cluster 1563,1
1564,Cluster 1564,1
1565,Cluster 1565,63
1566,Cluster 1566,63
1567,Cluster 1567,63
1568,Cluster 1568,63
1569,Cluster 1569,48
1570,Cluster 1570,7
1571,Cluster 1571,3
1572,Cluster 1572,1
1573,Cluster 1573,2
1574,Cluster 1574,1
1575,Cluster 1575,2
1576,Cluster 1576,1
1577,Cluster 1577,63
1578,Cluster 1578,63
1579,Cluster 1579,7
1580,Cluster 1580,1
1581,Cluster 1581,37
1582,Cluster 1582,7
1583,Cluster 1583,59
1584,Cluster 1584,9
1585,Cluster 1585,9
1586,Cluster 1586,4
1587,Cluster 1587,8
1588,Cluster 1588,1
1589,Cluster 1589,36
1590,Cluster 1590,45
1591,Cluster 1591,3
1592,Cluster 1592,1
1593,Cluster 1593,2
1594,Cluster 1594,63
1595,Cluster 1595,63
1596,Cluster 1596,61
1597,Cluster 1597,9
1598,Cluster 1598,23
1599,Cluster 1599,63
1600,Cluster 1600,2
1601,Cluster 1601,1
1602,Cluster 1602,5
1603,Cluster 1603,1
1604,Cluster 1604,63
1605,Cluster 1605,62
1606,Cluster 1606,17
1607,Cluster 1607,69
1608,Cluster 1608,56
1609,Cluster 1609,16
1610,Cluster 1610,31
1611,Cluster 1611,5
1612,Cluster 1612,1
1613,Cluster 1613,1
1614,Cluster 1614,1
1615,Cluster 1615,63
1616,Cluster 1616,63
1617,Cluster 1617,63
1618,Cluster 1618,4
1619,Cluster 1619,1
1620,Cluster 1620,63
1621,Cluster 1621,30
1622,Cluster 1622,63
1623,Cluster 1623,63
1624,Cluster 1624,63
1625,Cluster 1625,8
1626,Cluster 1626,11
1627,Cluster 1627,26
1628,Cluster 1628,25
1629,Cluster 1629,19
1630,Cluster 1630,2
1631,Cluster 1631,1
1632,Cluster 1632,5
1633,Cluster 1633,30
1634,Cluster 1634,63
1635,Cluster 1635,63
1636,Cluster 1636,5
1637,Cluster 1637,1
1638,Cluster 1638,1
1639,Cluster 1639,1
1640,Cluster 1640,63
1641,Cluster 1641,63
1642,Cluster 1642,63
1643,Cluster 1643,63
1644,Cluster 1644,62
1645,Cluster 1645,3
1646,Cluster 1646,15
1647,Cluster 1647,63
1648,Cluster 1648,1
1649,Cluster 1649,1
1650,Cluster 1650,3
1651,Cluster 1651,8
1652,Cluster 1652,36
1653,Cluster 1653,2
1654,Cluster 1654,1
1655,Cluster 1655,1
1656,Cluster 1656,4
1657,Cluster 1657,61
1658,Cluster 1658,54
1659,Cluster 1659,11
1660,Cluster 1660,63
1661,Cluster 1661,63
1662,Cluster 1662,10
1663,Cluster 1663,21
1664,Cluster 1664,22
1665,Cluster 1665,25
1666,Cluster 1666,27
1667,Cluster 1667,1
1668,Cluster 1668,1
1669,Cluster 1669,1
1670,Cluster 1670,63
1671,Cluster 1671,62
1672,Cluster 1672,63
1673,Cluster 1673,63
1674,Cluster 1674,24
1675,Cluster 1675,1
1676,Cluster 1676,8
1677,Cluster 1677,2
1678,Cluster 1678,1
1679,Cluster 1679,1
1680,Cluster 1680,63
1681,Cluster 1681,45
1682,Cluster 1682,41
1683,Cluster 1683,4
1684,Cluster 1684,26
1685,Cluster 1685,8
1686,Cluster 1686,1
1687,Cluster 1687,1
1688,Cluster 1688,62
1689,Cluster 1689,62
1690,Cluster 1690,63
1691,Cluster 1691,48
1692,Cluster 1692,28
1693,Cluster 1693,1
1694,Cluster 1694,62
1695,Cluster 1695,63
1696,Cluster 1696,63
1697,Cluster 1697,63
1698,Cluster 1698,63
1699,Cluster 1699,38
1700,Cluster 1700,18
1701,Cluster 1701,1
1702,Cluster 1702,12
1703,Cluster 1703,7
1704,Cluster 1704,63
1705,Cluster 1705,1
1706,Cluster 1706,1
1707,Cluster 1707,6
1708,Cluster 1708,5
1709,Cluster 1709,10
1710,Cluster 1710,4
1711,Cluster 1711,1
1712,Cluster 1712,63
1713,Cluster 1713,63
1714,Cluster 1714,63
1715,Cluster 1715,44
1716,Cluster 1716,1
1717,Cluster 1717,1
1718,Cluster 1718,6
1719,Cluster 1719,5
1720,Cluster 1720,1
1721,Cluster 1721,4
1722,Cluster 1722,1
1723,Cluster 1723,63
1724,Cluster 1724,61
1725,Cluster 1725,38
1726,Cluster 1726,47
1727,Cluster 1727,1
1728,Cluster 1728,1
1729,Cluster 1729,9
1730,Cluster 1730,1
1731,Cluster 1731,63
1732,Cluster 1732,62
1733,Cluster 1733,63
1734,Cluster 1734,63
1735,Cluster 1735,63
1736,Cluster 1736,23
1737,Cluster 1737,18
1738,Cluster 1738,28
1739,Cluster 1739,5
1740,Cluster 1740,2
1741,Cluster 1741,63
1742,Cluster 1742,63
1743,Cluster 1743,61
1744,Cluster 1744,5
1745,Cluster 1745,32
1746,Cluster 1746,21
1747,Cluster 1747,7
1748,Cluster 1748,1
1749,Cluster 1749,63
1750,Cluster 1750,63
1751,Cluster 1751,63
1752,Cluster 1752,63
1753,Cluster 1753,10
1754,Cluster 1754,46
1755,Cluster 1755,34
1756,Cluster 1756,13
1757,Cluster 1757,1
1758,Cluster 1758,7
1759,Cluster 1759,1
1760,Cluster 1760,1
1761,Cluster 1761,13
1762,Cluster 1762,62
1763,Cluster 1763,63
1764,Cluster 1764,63
1765,Cluster 1765,11
1766,Cluster 1766,63
1767,Cluster 1767,63
1768,Cluster 1768,63
1769,Cluster 1769,3
1770,Cluster 1770,3
1771,Cluster 1771,5
1772,Cluster 1772,3
1773,Cluster 1773,4
1774,Cluster 1774,21
1775,Cluster 1775,63
1776,Cluster 1776,63
1777,Cluster 1777,63
1778,Cluster 1778,63
1779,Cluster 1779,5
1780,Cluster 1780,2
1781,Cluster 1781,63
1782,Cluster 1782,63
1783,Cluster 1783,43
1784,Cluster 1784,62
1785,Cluster 1785,1
1786,Cluster 1786,1
1787,Cluster 1787,3
1788,Cluster 1788,62
1789,Cluster 1789,16
1790,Cluster 1790,56
1791,Cluster 1791,62
1792,Cluster 1792,63
1793,Cluster 1793,63
1794,Cluster 1794,1
1795,Cluster 1795,2
1796,Cluster 1796,63
1797,Cluster 1797,56
1798,Cluster 1798,63
1799,Cluster 1799,36
1800,Cluster 1800,63
1801,Cluster 1801,63
1802,Cluster 1802,46
1803,Cluster 1803,21
1804,Cluster 1804,1
1805,Cluster 1805,55
1806,Cluster 1806,1
1807,Cluster 1807,1
1808,Cluster 1808,63
1809,Cluster 1809,62
1810,Cluster 1810,59
1811,Cluster 1811,61
1812,Cluster 1812,8
1813,Cluster 1813,2
1814,Cluster 1814,2
1815,Cluster 1815,16
1816,Cluster 1816,63
1817,Cluster 1817,63
1818,Cluster 1818,36
1819,Cluster 1819,3
1820,Cluster 1820,1
1821,Cluster 1821,16
1822,Cluster 1822,63
1823,Cluster 1823,11
1824,Cluster 1824,1
1825,Cluster 1825,2
1826,Cluster 1826,6
1827,Cluster 1827,32
1828,Cluster 1828,63
1829,Cluster 1829,25
1830,Cluster 1830,62
1831,Cluster 1831,1
1832,Cluster 1832,5
1833,Cluster 1833,6
1834,Cluster 1834,1
1835,Cluster 1835,1
1836,Cluster 1836,15
1837,Cluster 1837,1
1838,Cluster 1838,1
1839,Cluster 1839,63
1840,Cluster 1840,63
1841,Cluster 1841,50
1842,Cluster 1842,63
1843,Cluster 1843,3
1844,Cluster 1844,10
1845,Cluster 1845,1
1846,Cluster 1846,7
1847,Cluster 1847,1
1848,Cluster 1848,2
1849,Cluster 1849,29
1850,Cluster 1850,63
1851,Cluster 1851,63
1852,Cluster 1852,63
1853,Cluster 1853,62
1854,Cluster 1854,63
1855,Cluster 1855,62
1856,Cluster 1856,6
1857,Cluster 1857,63
1858,Cluster 1858,63
1859,Cluster 1859,3
1860,Cluster 1860,19
1861,Cluster 1861,5
1862,Cluster 1862,1
1863,Cluster 1863,1
1864,Cluster 1864,38
1865,Cluster 1865,63
1866,Cluster 1866,63
1867,Cluster 1867,63
1868,Cluster 1868,62
1869,Cluster 1869,6
1870,Cluster 1870,1
1871,Cluster 1871,6
1872,Cluster 1872,3
1873,Cluster 1873,1
1874,Cluster 1874,2
1875,Cluster 1875,61
1876,Cluster 1876,63
1877,Cluster 1877,21
1878,Cluster 1878,63
1879,Cluster 1879,63
1880,Cluster 1880,62
1881,Cluster 1881,27
1882,Cluster 1882,20
1883,Cluster 1883,12
1884,Cluster 1884,1
1885,Cluster 1885,1
1886,Cluster 1886,1
1887,Cluster 1887,2
1888,Cluster 1888,3
1889,Cluster 1889,1
1890,Cluster 1890,1
1891,Cluster 1891,63
1892,Cluster 1892,43
1893,Cluster 1893,60
1894,Cluster 1894,63
1895,Cluster 1895,63
1896,Cluster 1896,63
1897,Cluster 1897,63
1898,Cluster 1898,63
1899,Cluster 1899,10
1900,Cluster 1900,3
1901,Cluster 1901,6
1902,Cluster 1902,1
1903,Cluster 1903,7
1904,Cluster 1904,1
1905,Cluster 1905,1
1906,Cluster 1906,28
1907,Cluster 1907,63
1908,Cluster 1908,63
1909,Cluster 1909,5
1910,Cluster 1910,1
1911,Cluster 1911,1
1912,Cluster 1912,1
1913,Cluster 1913,6
1914,Cluster 1914,63
1915,Cluster 1915,63
1916,Cluster 1916,55
1917,Cluster 1917,63
1918,Cluster 1918,47
1919,Cluster 1919,63
1920,Cluster 1920,63
1921,Cluster 1921,63
1922,Cluster 1922,38
1923,Cluster 1923,18
1924,Cluster 1924,23
1925,Cluster 1925,25
1926,Cluster 1926,1
1927,Cluster 1927,1
1928,Cluster 1928,1
1929,Cluster 1929,1
1930,Cluster 1930,45
1931,Cluster 1931,63
1932,Cluster 1932,63
1933,Cluster 1933,62
1934,Cluster 1934,63
1935,Cluster 1935,63
1936,Cluster 1936,29
1937,Cluster 1937,12
1938,Cluster 1938,13
1939,Cluster 1939,15
1940,Cluster 1940,12
1941,Cluster 1941,1
1942,Cluster 1942,2
1943,Cluster 1943,5
1944,Cluster 1944,8
1945,Cluster 1945,1
1946,Cluster 1946,24
1947,Cluster 1947,1
1948,Cluster 1948,63
1949,Cluster 1949,1
1950,Cluster 1950,63
1951,Cluster 1951,63
1952,Cluster 1952,63
1953,Cluster 1953,63
1954,Cluster 1954,47
1955,Cluster 1955,29
1956,Cluster 1956,1
1957,Cluster 1957,2
1958,Cluster 1958,1
1959,Cluster 1959,60
1960,Cluster 1960,31
1961,Cluster 1961,63
1962,Cluster 1962,63
1963,Cluster 1963,3
1964,Cluster 1964,9
1965,Cluster 1965,31
1966,Cluster 1966,2
1967,Cluster 1967,32
1968,Cluster 1968,63
1969,Cluster 1969,62
1970,Cluster 1970,63
1971,Cluster 1971,9
1972,Cluster 1972,1
1973,Cluster 1973,1
1974,Cluster 1974,63
1975,Cluster 1975,63
1976,Cluster 1976,63
1977,Cluster 1977,63
1978,Cluster 1978,41
1979,Cluster 1979,63
1980,Cluster 1980,10
1981,Cluster 1981,1
1982,Cluster 1982,1
1983,Cluster 1983,51
1984,Cluster 1984,2
1985,Cluster 1985,4
1986,Cluster 1986,2
1987,Cluster 1987,1
1988,Cluster 1988,1
1989,Cluster 1989,63
1990,Cluster 1990,63
1991,Cluster 1991,63
1992,Cluster 1992,109
1993,Cluster 1993,34
1994,Cluster 1994,63
1995,Cluster 1995,54
1996,Cluster 1996,1
1997,Cluster 1997,6
1998,Cluster 1998,2
1999,Cluster 1999,5
2000,Cluster 2000,1
2001,Cluster 2001,1
2002,Cluster 2002,1
2003,Cluster 2003,10
2004,Cluster 2004,63
2005,Cluster 2005,63
2006,Cluster 2006,60
2007,Cluster 2007,20
2008,Cluster 2008,18
2009,Cluster 2009,2
2010,Cluster 2010,3
2011,Cluster 2011,1
2012,Cluster 2012,1
2013,Cluster 2013,63
2014,Cluster 2014,41
2015,Cluster 2015,47
2016,Cluster 2016,48
2017,Cluster 2017,7
2018,Cluster 2018,1
2019,Cluster 2019,7
2020,Cluster 2020,25
2021,Cluster 2021,1
2022,Cluster 2022,2
2023,Cluster 2023,1
2024,Cluster 2024,2
2025,Cluster 2025,1
2026,Cluster 2026,1
2027,Cluster 2027,63
2028,Cluster 2028,63
2029,Cluster 2029,63
2030,Cluster 2030,63
2031,Cluster 2031,62
2032,Cluster 2032,10
2033,Cluster 2033,2
2034,Cluster 2034,1
2035,Cluster 2035,16
2036,Cluster 2036,63
2037,Cluster 2037,63
2038,Cluster 2038,62
2039,Cluster 2039,63
2040,Cluster 2040,5
2041,Cluster 2041,2
2042,Cluster 2042,41
2043,Cluster 2043,1
2044,Cluster 2044,1
2045,Cluster 2045,60
2046,Cluster 2046,63
2047,Cluster 2047,63
2048,Cluster 2048,38
2049,Cluster 2049,63
2050,Cluster 2050,63
2051,Cluster 2051,56
2052,Cluster 2052,6
2053,Cluster 2053,1
2054,Cluster 2054,5
2055,Cluster 2055,2
2056,Cluster 2056,5
2057,Cluster 2057,1
2058,Cluster 2058,63
2059,Cluster 2059,63
2060,Cluster 2060,57
2061,Cluster 2061,35
2062,Cluster 2062,63
2063,Cluster 2063,61
2064,Cluster 2064,63
2065,Cluster 2065,63
2066,Cluster 2066,20
2067,Cluster 2067,63
2068,Cluster 2068,12
2069,Cluster 2069,62
2070,Cluster 2070,2
2071,Cluster 2071,1
2072,Cluster 2072,55
2073,Cluster 2073,41
2074,Cluster 2074,54
2075,Cluster 2075,1
2076,Cluster 2076,63
2077,Cluster 2077,63
2078,Cluster 2078,27
2079,Cluster 2079,26
2080,Cluster 2080,22
2081,Cluster 2081,43
2082,Cluster 2082,2
2083,Cluster 2083,11
2084,Cluster 2084,2
2085,Cluster 2085,1
2086,Cluster 2086,6
2087,Cluster 2087,42
2088,Cluster 2088,2
2089,Cluster 2089,63
2090,Cluster 2090,63
2091,Cluster 2091,46
2092,Cluster 2092,63
2093,Cluster 2093,57
2094,Cluster 2094,63
2095,Cluster 2095,62
2096,Cluster 2096,36
2097,Cluster 2097,63
2098,Cluster 2098,63
2099,Cluster 2099,63
2100,Cluster 2100,3
2101,Cluster 2101,63
2102,Cluster 2102,9
2103,Cluster 2103,19
2104,Cluster 2104,1
2105,Cluster 2105,1
2106,Cluster 2106,63
2107,Cluster 2107,16
2108,Cluster 2108,63
2109,Cluster 2109,63
2110,Cluster 2110,63
2111,Cluster 2111,31
2112,Cluster 2112,2
2113,Cluster 2113,63
2114,Cluster 2114,3
2115,Cluster 2115,5
2116,Cluster 2116,2
2117,Cluster 2117,1
2118,Cluster 2118,62
2119,Cluster 2119,63
2120,Cluster 2120,38
2121,Cluster 2121,63
2122,Cluster 2122,12
2123,Cluster 2123,53
2124,Cluster 2124,3
2125,Cluster 2125,56
2126,Cluster 2126,42
2127,Cluster 2127,63
2128,Cluster 2128,63
2129,Cluster 2129,63
2130,Cluster 2130,63
2131,Cluster 2131,55
2132,Cluster 2132,62
2133,Cluster 2133,6
2134,Cluster 2134,63
2135,Cluster 2135,6
2136,Cluster 2136,1
2137,Cluster 2137,5
2138,Cluster 2138,5
2139,Cluster 2139,3
2140,Cluster 2140,2
2141,Cluster 2141,63
2142,Cluster 2142,61
2143,Cluster 2143,38
2144,Cluster 2144,63
2145,Cluster 2145,63
2146,Cluster 2146,62
2147,Cluster 2147,53
2148,Cluster 2148,44
2149,Cluster 2149,2
2150,Cluster 2150,5
2151,Cluster 2151,1
2152,Cluster 2152,12
2153,Cluster 2153,63
2154,Cluster 2154,59
2155,Cluster 2155,63
2156,Cluster 2156,63
2157,Cluster 2157,55
2158,Cluster 2158,63
2159,Cluster 2159,63
2160,Cluster 2160,63
2161,Cluster 2161,26
2162,Cluster 2162,25
2163,Cluster 2163,11
2164,Cluster 2164,2
2165,Cluster 2165,3
2166,Cluster 2166,1
2167,Cluster 2167,1
2168,Cluster 2168,1
2169,Cluster 2169,45
2170,Cluster 2170,63
2171,Cluster 2171,63
2172,Cluster 2172,63
2173,Cluster 2173,5
2174,Cluster 2174,13
2175,Cluster 2175,3
2176,Cluster 2176,1
2177,Cluster 2177,1
2178,Cluster 2178,2
2179,Cluster 2179,1
2180,Cluster 2180,63
2181,Cluster 2181,63
2182,Cluster 2182,63
2183,Cluster 2183,63
2184,Cluster 2184,8
2185,Cluster 2185,63
2186,Cluster 2186,63
2187,Cluster 2187,63
2188,Cluster 2188,63
2189,Cluster 2189,63
2190,Cluster 2190,29
2191,Cluster 2191,1
2192,Cluster 2192,47
2193,Cluster 2193,1
2194,Cluster 2194,63
2195,Cluster 2195,63
2196,Cluster 2196,57
2197,Cluster 2197,62
2198,Cluster 2198,63
2199,Cluster 2199,35
2200,Cluster 2200,15
2201,Cluster 2201,8
2202,Cluster 2202,2
2203,Cluster 2203,11
2204,Cluster 2204,1
2205,Cluster 2205,19
2206,Cluster 2206,1
2207,Cluster 2207,2
2208,Cluster 2208,1
2209,Cluster 2209,2
2210,Cluster 2210,23
2211,Cluster 2211,1
2212,Cluster 2212,11
2213,Cluster 2213,2
2214,Cluster 2214,1
2215,Cluster 2215,63
2216,Cluster 2216,63
2217,Cluster 2217,38
2218,Cluster 2218,63
2219,Cluster 2219,58
2220,Cluster 2220,63
2221,Cluster 2221,63
2222,Cluster 2222,1
2223,Cluster 2223,5
2224,Cluster 2224,1
2225,Cluster 2225,5
2226,Cluster 2226,19
2227,Cluster 2227,1
2228,Cluster 2228,2
2229,Cluster 2229,4
2230,Cluster 2230,1
2231,Cluster 2231,63
2232,Cluster 2232,63
2233,Cluster 2233,63
2234,Cluster 2234,63
2235,Cluster 2235,63
2236,Cluster 2236,42
2237,Cluster 2237,22
2238,Cluster 2238,21
2239,Cluster 2239,1
2240,Cluster 2240,1
2241,Cluster 2241,57
2242,Cluster 2242,63
2243,Cluster 2243,63
2244,Cluster 2244,63
2245,Cluster 2245,63
2246,Cluster 2246,63
2247,Cluster 2247,41
2248,Cluster 2248,12
2249,Cluster 2249,21
2250,Cluster 2250,26
2251,Cluster 2251,39
2252,Cluster 2252,4
2253,Cluster 2253,1
2254,Cluster 2254,1
2255,Cluster 2255,63
2256,Cluster 2256,63
2257,Cluster 2257,63
2258,Cluster 2258,62
2259,Cluster 2259,61
2260,Cluster 2260,1
2261,Cluster 2261,1
2262,Cluster 2262,11
2263,Cluster 2263,2
2264,Cluster 2264,1
2265,Cluster 2265,1
2266,Cluster 2266,1
2267,Cluster 2267,1
2268,Cluster 2268,1
2269,Cluster 2269,63
2270,Cluster 2270,48
2271,Cluster 2271,63
2272,Cluster 2272,63
2273,Cluster 2273,63
2274,Cluster 2274,63
2275,Cluster 2275,63
2276,Cluster 2276,24
2277,Cluster 2277,18
2278,Cluster 2278,2
2279,Cluster 2279,5
2280,Cluster 2280,12
2281,Cluster 2281,72
2282,Cluster 2282,46
2283,Cluster 2283,1
2284,Cluster 2284,4
2285,Cluster 2285,1
2286,Cluster 2286,35
2287,Cluster 2287,63
2288,Cluster 2288,63
2289,Cluster 2289,56
2290,Cluster 2290,2
2291,Cluster 2291,9
2292,Cluster 2292,1
2293,Cluster 2293,3
2294,Cluster 2294,1
2295,Cluster 2295,1
2296,Cluster 2296,1
2297,Cluster 2297,63
2298,Cluster 2298,61
2299,Cluster 2299,63
