, ,Number of genomes
1079,Cluster 1079,14
1080,Cluster 1080,63
1081,Cluster 1081,1
1082,Cluster 1082,63
1083,Cluster 1083,1
1084,Cluster 1084,2
1085,Cluster 1085,3
1086,Cluster 1086,1
1087,Cluster 1087,4
1088,Cluster 1088,3
1089,Cluster 1089,1
1090,Cluster 1090,3
1091,Cluster 1091,2
1092,Cluster 1092,1
1093,Cluster 1093,1
1094,Cluster 1094,63
1095,Cluster 1095,16
1096,Cluster 1096,56
1097,Cluster 1097,25
1098,Cluster 1098,2
1099,Cluster 1099,1
1100,Cluster 1100,55
1101,Cluster 1101,63
1102,Cluster 1102,63
1103,Cluster 1103,1
1104,Cluster 1104,1
1105,Cluster 1105,63
1106,Cluster 1106,56
1107,Cluster 1107,56
1108,Cluster 1108,21
1109,Cluster 1109,17
1110,Cluster 1110,2
1111,Cluster 1111,22
1112,Cluster 1112,5
1113,Cluster 1113,3
1114,Cluster 1114,63
1115,Cluster 1115,63
1116,Cluster 1116,61
1117,Cluster 1117,8
1118,Cluster 1118,36
1119,Cluster 1119,1
1120,Cluster 1120,2
1121,Cluster 1121,1
1122,Cluster 1122,63
1123,Cluster 1123,63
1124,Cluster 1124,63
1125,Cluster 1125,26
1126,Cluster 1126,63
1127,Cluster 1127,41
1128,Cluster 1128,16
1129,Cluster 1129,22
1130,Cluster 1130,6
1131,Cluster 1131,2
1132,Cluster 1132,8
1133,Cluster 1133,1
1134,Cluster 1134,21
1135,Cluster 1135,5
1136,Cluster 1136,1
1137,Cluster 1137,1
1138,Cluster 1138,7
1139,Cluster 1139,1
1140,Cluster 1140,1
1141,Cluster 1141,63
1142,Cluster 1142,36
1143,Cluster 1143,1
1144,Cluster 1144,32
1145,Cluster 1145,63
1146,Cluster 1146,18
1147,Cluster 1147,1
1148,Cluster 1148,63
1149,Cluster 1149,40
1150,Cluster 1150,1
1151,Cluster 1151,1
1152,Cluster 1152,1
1153,Cluster 1153,18
1154,Cluster 1154,63
1155,Cluster 1155,63
1156,Cluster 1156,63
1157,Cluster 1157,63
1158,Cluster 1158,63
1159,Cluster 1159,63
1160,Cluster 1160,63
1161,Cluster 1161,7
1162,Cluster 1162,1
1163,Cluster 1163,4
1164,Cluster 1164,3
1165,Cluster 1165,1
1166,Cluster 1166,63
1167,Cluster 1167,1
1168,Cluster 1168,2
1169,Cluster 1169,62
1170,Cluster 1170,39
1171,Cluster 1171,62
1172,Cluster 1172,54
1173,Cluster 1173,1
1174,Cluster 1174,63
1175,Cluster 1175,7
1176,Cluster 1176,1
1177,Cluster 1177,62
1178,Cluster 1178,63
1179,Cluster 1179,1
1180,Cluster 1180,2
1181,Cluster 1181,63
1182,Cluster 1182,38
1183,Cluster 1183,60
1184,Cluster 1184,63
1185,Cluster 1185,2
1186,Cluster 1186,63
1187,Cluster 1187,63
1188,Cluster 1188,3
1189,Cluster 1189,1
1190,Cluster 1190,5
1191,Cluster 1191,5
1192,Cluster 1192,7
1193,Cluster 1193,7
1194,Cluster 1194,1
1195,Cluster 1195,1
1196,Cluster 1196,63
1197,Cluster 1197,15
1198,Cluster 1198,1
1199,Cluster 1199,60
1200,Cluster 1200,1
1201,Cluster 1201,63
1202,Cluster 1202,63
1203,Cluster 1203,1
1204,Cluster 1204,8
1205,Cluster 1205,3
1206,Cluster 1206,1
1207,Cluster 1207,63
1208,Cluster 1208,63
1209,Cluster 1209,63
1210,Cluster 1210,63
1211,Cluster 1211,14
1212,Cluster 1212,3
1213,Cluster 1213,1
1214,Cluster 1214,3
1215,Cluster 1215,2
1216,Cluster 1216,63
1217,Cluster 1217,56
1218,Cluster 1218,8
1219,Cluster 1219,5
1220,Cluster 1220,4
1221,Cluster 1221,63
1222,Cluster 1222,63
1223,Cluster 1223,3
1224,Cluster 1224,3
1225,Cluster 1225,63
